City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
180,Guiratinga,-16.3494,-53.7583,71.11,94,97,1.63,BR,2022-02-09 02:28:35
181,Holoby,51.0865,25.0077,40.05,85,84,16.78,UA,2022-02-09 02:28:36
182,Ishigaki,24.3448,124.1572,64.53,94,75,13.8,JP,2022-02-09 02:28:36
183,Taoudenni,22.6783,-3.9836,65.61,14,0,13.42,ML,2022-02-09 02:28:36
184,Kalikino,52.9493,39.8269,30.72,93,100,4.68,RU,2022-02-09 02:28:37
185,Necochea,-38.5473,-58.7368,63.03,68,100,9.69,AR,2022-02-09 02:29:37
186,Severo-Kurilsk,50.6789,156.125,31.08,95,96,25.14,RU,2022-02-09 02:29:37
187,Oparino,59.8518,48.2783,15.42,95,97,8.57,RU,2022-02-09 02:29:38
188,Jaciara,-15.9653,-54.9683,71.28,95,100,1.14,BR,2022-02-09 02:28:13
189,Cururupu,-1.8283,-44.8683,74.28,93,53,1.7,BR,2022-02-09 02:29:38
190,Chinhoyi,-17.3667,30.2,61.59,96,10,2.84,ZW,2022-02-09 02:29:38
191,Erenhot,43.6475,111.9767,12.69,75,14,10.54,CN,2022-02-09 02:29:39
192,Klaksvik,62.2266,-6.589,38.32,70,90,39.59,FO,2022-02-09 02:29:39
193,Ziniare,12.5822,-1.2983,71.64,14,1,8.88,BF,2022-02-09 02:29:39
194,Carsamba,41.1989,36.7219,47.95,87,75,9.22,TR,2022-02-09 02:29:39
195,Saravan,39.7196,45.6483,25.39,90,77,5.46,AM,2022-02-09 02:29:40
196,Anadyr,64.75,177.4833,-26.9,67,20,4.47,RU,2022-02-09 02:29:40
197,Mbandaka,0.0487,18.2603,72.52,41,89,2.24,CD,2022-02-09 02:29:40
198,Marawi,7.9986,124.2928,73.65,71,100,5.3,PH,2022-02-09 02:29:41
199,Cayenne,4.9333,-52.3333,78.84,86,75,4.0,GF,2022-02-09 02:29:41
200,Garowe,8.4054,48.4845,62.15,88,4,9.84,SO,2022-02-09 02:29:41
201,Red Deer,52.2668,-113.802,41.25,64,100,4.61,CA,2022-02-09 02:28:45
202,Acapulco,16.8634,-99.8901,78.62,73,40,4.61,MX,2022-02-09 02:29:42
203,Catuday,16.2923,119.8062,81.32,61,56,12.01,PH,2022-02-09 02:29:42
204,Walvis Bay,-22.9575,14.5053,69.1,94,37,6.91,NA,2022-02-09 02:29:42
205,Alepe,5.5004,-3.6631,82.27,95,49,3.04,CI,2022-02-09 02:29:42
206,Manavalakurichi,8.1333,77.3,80.69,70,100,6.42,IN,2022-02-09 02:29:43
207,Chicama,-7.8447,-79.1469,68.54,70,100,4.83,PE,2022-02-09 02:29:43
208,Itaqui,-29.1253,-56.5531,68.59,40,0,8.93,BR,2022-02-09 02:25:38
209,Zalantun,48.0,122.7167,16.14,65,16,4.74,CN,2022-02-09 02:29:43
210,Eskil,38.4017,33.4131,32.97,99,100,3.91,TR,2022-02-09 02:29:44
211,Namatanai,-3.6667,152.4333,85.37,67,80,8.84,PG,2022-02-09 02:29:44
212,Tuatapere,-46.1333,167.6833,64.81,61,100,4.29,NZ,2022-02-09 02:29:45
213,Valdobbiadene,45.8993,11.9946,38.3,67,85,2.8,IT,2022-02-09 02:29:45
214,Kambove,-10.8764,26.5969,60.87,97,100,4.45,CD,2022-02-09 02:29:45
215,Lasa,46.6166,10.7002,47.66,39,1,4.7,IT,2022-02-09 02:29:45
216,Arraial Do Cabo,-22.9661,-42.0278,72.43,87,100,10.29,BR,2022-02-09 02:29:46
217,Chuy,-33.6971,-53.4616,63.9,77,19,6.04,UY,2022-02-09 02:28:58
218,Chunskiy,56.0815,99.6342,-10.7,96,98,3.74,RU,2022-02-09 02:29:46
219,Omsukchan,62.5333,155.8,-10.05,76,50,2.57,RU,2022-02-09 02:29:46
220,Durango,24.8333,-104.8333,44.67,32,0,3.78,MX,2022-02-09 02:27:31
221,Broome,42.2506,-75.833,26.01,80,100,4.61,US,2022-02-09 02:29:47
222,Port Blair,11.6667,92.75,77.04,83,40,2.3,IN,2022-02-09 02:29:47
223,Odweyne,9.4092,45.064,60.15,58,11,2.71,SO,2022-02-09 02:29:47
224,Jinchang,38.4953,102.1739,21.42,46,0,4.47,CN,2022-02-09 02:29:48
225,Tuy Hoa,13.0833,109.3,77.94,84,99,5.48,VN,2022-02-09 02:29:48
226,Sechura,-5.5569,-80.8222,72.75,71,86,9.28,PE,2022-02-09 02:30:49
227,Tual,-5.6667,132.75,82.47,77,100,11.54,ID,2022-02-09 02:30:49
228,Labuan,5.2767,115.2417,86.36,70,20,3.44,MY,2022-02-09 02:30:49
229,Ballina,-28.8667,153.5667,82.44,59,40,9.22,AU,2022-02-09 02:30:50
230,Lompoc,34.6391,-120.4579,66.34,77,0,4.61,US,2022-02-09 02:30:50
231,Tiarei,-17.5333,-149.3333,86.02,79,92,18.52,PF,2022-02-09 02:30:50
232,Nome,64.5011,-165.4064,-0.33,71,100,21.85,US,2022-02-09 02:30:51
233,Chokurdakh,70.6333,147.9167,-41.12,99,97,6.13,RU,2022-02-09 02:30:51
234,Markivka,49.5229,39.5705,32.56,100,100,1.48,UA,2022-02-09 02:30:51
235,Barcelona,41.3888,2.159,52.57,89,20,2.3,ES,2022-02-09 02:26:11
236,Hauterive,46.0901,3.4459,32.76,79,20,4.52,FR,2022-02-09 02:30:52
